thread_id,title,youtube_url,lap,turn,fault_pct_driver_a,fault_pct_driver_b,ruling,reason
32,Netcode Yeet on Exit,https://youtu.be/53cu6m85elq,12,14,100,0,Racing Incident,"Server replay clean, client lag artifact"
33,Netcode Yeet on Exit,https://youtu.be/cyvz1ewv2h0,41,2,80,20,Racing Incident,"Server replay clean, client lag artifact"
34,Apex Cut - Track Limits,https://youtu.be/hhoqlkb09vp,14,straight,100,0,Inside Driver Fault,"Cut apex, forced outside car wide"
35,Track Limits Abuse Repeat,https://youtu.be/kawu87sushv,48,straight,90,10,Offender Fault,4th violation - repeated apex cuts
36,Track Limits Abuse Repeat,https://youtu.be/b81kily93fz,15,6,100,0,Offender Fault,4th violation - repeated apex cuts
37,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/9dasd95l10q,35,straight,20,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
38,Exit Vortex Contact,https://youtu.be/kcnkr3k811t,21,9,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
39,Brake Test Divebomb,https://youtu.be/2vr9sl9jvj3,22,9,95,5,Overtaker Fault,Late dive under braking - no peripheral vision
40,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/629rvqp8vs2,33,straight,0,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
41,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/yyj4l9ztowa,21,straight,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
42,Brake Test Divebomb,https://youtu.be/a33oo1nhf0x,30,straight,100,0,Overtaker Fault,Late dive under braking - no peripheral vision
43,Exit Vortex Contact,https://youtu.be/aph23la7n9j,12,7,85,15,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
44,Track Limits Abuse Repeat,https://youtu.be/2ihucbcd6fh,25,straight,100,0,Offender Fault,4th violation - repeated apex cuts
45,Netcode Yeet on Exit,https://youtu.be/6beiixtalbf,20,4,85,15,Racing Incident,"Server replay clean, client lag artifact"
46,Straight Weave Block,https://youtu.be/kiayw01cx7t,46,straight,90,10,Defender Fault,Two moves on straight - One Move Rule violation
47,Exit Vortex Contact,https://youtu.be/y3ibe4qi7sr,6,15,90,10,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
48,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/i16kzgj4u2n,37,straight,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
49,T12 Divebomb - Blind Spot Pass,https://youtu.be/gdthced5lrr,46,12,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
50,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/drvsjnu0kaj,28,straight,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
51,Brake Test Divebomb,https://youtu.be/t8nfrb1tj9j,4,straight,100,0,Overtaker Fault,Late dive under braking - no peripheral vision
52,Kerb Strike Oversteer,https://youtu.be/v1y5btexlcl,28,3,100,0,Inside Driver Fault,Excessive kerb use caused snap
53,T13 Divebomb - Blind Spot Pass,https://youtu.be/p1871fs8659,35,13,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
54,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/g47fzc6e31q,22,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
55,Exit Vortex Contact,https://youtu.be/v2l14zkv6ga,45,straight,95,5,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
56,Rejoin Unsafe After Spin,https://youtu.be/q6n55fvi8mx,46,straight,0,0,Spinner Fault,Rejoined without checking mirrors
57,T14 Divebomb - Blind Spot Pass,https://youtu.be/1ivror8jitp,50,14,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
58,T13 Divebomb - Blind Spot Pass,https://youtu.be/zs6tlvibyr4,30,13,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
59,Outside Pass Late Commitment,https://youtu.be/kvtqd1qwf76,11,3,100,0,Outside Driver Fault,Not visible at apex - Exit Vortex
60,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/oc8v7o412r4,42,straight,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
61,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/m7zwpgog82d,18,straight,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
62,Track Limits Abuse Repeat,https://youtu.be/c9985v7qf7u,29,12,100,0,Offender Fault,4th violation - repeated apex cuts
63,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/0v5p9p1k2gu,50,straight,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
64,T9 Divebomb - Blind Spot Pass,https://youtu.be/wnzobv0zmpu,7,9,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
65,Exit Vortex Contact,https://youtu.be/e0vr4cn64kl,50,straight,85,15,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
66,Rejoin Unsafe After Spin,https://youtu.be/o6cn0pvbsck,14,straight,70,30,Spinner Fault,Rejoined without checking mirrors
67,Brake Test Divebomb,https://youtu.be/n69pmfv0pel,28,straight,90,10,Overtaker Fault,Late dive under braking - no peripheral vision
68,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/kl9fqkd7yp3,19,straight,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
69,T10 Divebomb - Blind Spot Pass,https://youtu.be/e5o2wumsyb5,38,10,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
70,Kerb Strike Oversteer,https://youtu.be/6ddqj92kjmd,18,straight,100,0,Inside Driver Fault,Excessive kerb use caused snap
71,Outside Pass Late Commitment,https://youtu.be/ddxg0tns0v0,18,5,90,10,Outside Driver Fault,Not visible at apex - Exit Vortex
72,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/gg6hpu34bdf,45,straight,70,30,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
73,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/3gvyiy246ua,21,straight,20,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
74,Straight Weave Block,https://youtu.be/ahy1xowap2l,48,straight,90,10,Defender Fault,Two moves on straight - One Move Rule violation
75,Exit Vortex Contact,https://youtu.be/hcoo4fz575d,47,straight,90,10,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
76,Brake Test Divebomb,https://youtu.be/aw4f18t9488,43,straight,70,30,Overtaker Fault,Late dive under braking - no peripheral vision
77,Rejoin Unsafe After Spin,https://youtu.be/mwtj3nnit2h,12,straight,95,5,Spinner Fault,Rejoined without checking mirrors
78,T15 Divebomb - Blind Spot Pass,https://youtu.be/2iebsegeh0e,46,15,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
79,Outside Pass Late Commitment,https://youtu.be/bdgy260lmxi,16,straight,100,0,Outside Driver Fault,Not visible at apex - Exit Vortex
80,Brake Test Divebomb,https://youtu.be/4brn8vv7t5q,7,11,0,20,Overtaker Fault,Late dive under braking - no peripheral vision
81,Straight Weave Block,https://youtu.be/ua2b93o6kt0,19,straight,100,0,Defender Fault,Two moves on straight - One Move Rule violation
82,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/j7ntq69g1t9,34,straight,20,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
83,Exit Vortex Contact,https://youtu.be/juzuzzrfvb7,25,15,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
84,Outside Pass Late Commitment,https://youtu.be/pebjhdlkxr1,34,1,80,20,Outside Driver Fault,Not visible at apex - Exit Vortex
85,Exit Vortex Contact,https://youtu.be/k7brj5hpeom,1,3,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
86,Straight Weave Block,https://youtu.be/fkht493w72x,32,8,100,0,Defender Fault,Two moves on straight - One Move Rule violation
87,T8 Divebomb - Blind Spot Pass,https://youtu.be/5lqz1xhlbyk,37,8,95,5,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
88,Rejoin Unsafe After Spin,https://youtu.be/2i7ed29omiw,3,9,80,20,Spinner Fault,Rejoined without checking mirrors
89,Straight Weave Block,https://youtu.be/1epo7wu1470,33,straight,80,20,Defender Fault,Two moves on straight - One Move Rule violation
90,Straight Weave Block,https://youtu.be/zcih67lin1b,14,straight,90,10,Defender Fault,Two moves on straight - One Move Rule violation
91,Apex Cut - Track Limits,https://youtu.be/h7cjqwyok3t,9,straight,100,0,Inside Driver Fault,"Cut apex, forced outside car wide"
92,Brake Test Divebomb,https://youtu.be/sx1araozq7t,28,6,80,20,Overtaker Fault,Late dive under braking - no peripheral vision
93,Kerb Strike Oversteer,https://youtu.be/whcn666vvg2,10,3,100,0,Inside Driver Fault,Excessive kerb use caused snap
94,Apex Cut - Track Limits,https://youtu.be/ynraa2pikzn,45,straight,100,0,Inside Driver Fault,"Cut apex, forced outside car wide"
95,Exit Vortex Contact,https://youtu.be/wo63gwnxrrf,21,3,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
96,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/7t6hzxrna5f,42,straight,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
97,Exit Vortex Contact,https://youtu.be/yaxydsf4uj7,14,15,95,5,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
98,Exit Vortex Contact,https://youtu.be/evoqdg1jcyw,43,5,90,10,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
99,Exit Vortex Contact,https://youtu.be/hq7i7g923jz,20,straight,0,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
100,Exit Vortex Contact,https://youtu.be/buyo6gapb9y,24,6,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
101,Netcode Yeet on Exit,https://youtu.be/5m257n9dk4k,43,12,100,0,Racing Incident,"Server replay clean, client lag artifact"
102,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/6ozixff9z10,10,straight,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
103,T13 Divebomb - Blind Spot Pass,https://youtu.be/egjxo7tw9tj,25,13,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
104,Exit Vortex Contact,https://youtu.be/cgvqc3kdiaa,3,straight,85,15,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
105,Exit Vortex Contact,https://youtu.be/n4vckt47hpf,20,straight,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
106,Rejoin Unsafe After Spin,https://youtu.be/vxb4fateolv,16,straight,95,5,Spinner Fault,Rejoined without checking mirrors
107,Rejoin Unsafe After Spin,https://youtu.be/mel1pwwq3nc,28,straight,80,20,Spinner Fault,Rejoined without checking mirrors
108,Apex Cut - Track Limits,https://youtu.be/2mgrhr73rwj,1,6,80,20,Inside Driver Fault,"Cut apex, forced outside car wide"
109,Netcode Yeet on Exit,https://youtu.be/kxdjiuixcgq,37,straight,70,30,Racing Incident,"Server replay clean, client lag artifact"
110,Exit Vortex Contact,https://youtu.be/d03cki3rdlr,16,14,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
111,Netcode Yeet on Exit,https://youtu.be/jvmknxpfute,24,15,0,20,Racing Incident,"Server replay clean, client lag artifact"
112,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/7zdeutg1lrv,35,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
113,Apex Cut - Track Limits,https://youtu.be/2qov66mcdou,12,10,100,0,Inside Driver Fault,"Cut apex, forced outside car wide"
114,T4 Divebomb - Blind Spot Pass,https://youtu.be/ip2yuly25j9,36,4,70,30,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
115,Exit Vortex Contact,https://youtu.be/hzj2uu4zq8e,47,straight,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
116,Straight Weave Block,https://youtu.be/rx582vhp6k1,17,straight,100,0,Defender Fault,Two moves on straight - One Move Rule violation
117,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/sc69w4lkgeq,31,straight,0,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
118,Apex Cut - Track Limits,https://youtu.be/8qcf9uqou11,45,straight,80,20,Inside Driver Fault,"Cut apex, forced outside car wide"
119,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/lcs6e726hob,18,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
120,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/1cwpydkfi0f,45,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
121,Rejoin Unsafe After Spin,https://youtu.be/dkiyk31j6hf,31,10,80,20,Spinner Fault,Rejoined without checking mirrors
122,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/c3zbrszl75i,13,straight,0,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
123,Straight Weave Block,https://youtu.be/hzcwhjt0rvu,49,straight,85,15,Defender Fault,Two moves on straight - One Move Rule violation
124,Rejoin Unsafe After Spin,https://youtu.be/n5gr3rx448d,31,straight,100,0,Spinner Fault,Rejoined without checking mirrors
125,Straight Weave Block,https://youtu.be/i0va14fo3hc,10,14,70,30,Defender Fault,Two moves on straight - One Move Rule violation
126,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/2nyrnb8r8pd,5,straight,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
127,Netcode Yeet on Exit,https://youtu.be/o5id47wzfni,41,straight,80,20,Racing Incident,"Server replay clean, client lag artifact"
128,Exit Vortex Contact,https://youtu.be/w1ak2972o3s,20,4,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
129,Brake Test Divebomb,https://youtu.be/03i8k9a2at5,30,straight,80,20,Overtaker Fault,Late dive under braking - no peripheral vision
130,T9 Divebomb - Blind Spot Pass,https://youtu.be/x7jprvv2qj4,23,9,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
131,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/nc07uxnl6dp,28,straight,0,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
132,Kerb Strike Oversteer,https://youtu.be/rvklbulep0x,50,2,80,20,Inside Driver Fault,Excessive kerb use caused snap
133,Rejoin Unsafe After Spin,https://youtu.be/9hv4l4r62vo,45,4,95,5,Spinner Fault,Rejoined without checking mirrors
134,Exit Vortex Contact,https://youtu.be/d0gto6tunel,10,4,95,5,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
135,Brake Test Divebomb,https://youtu.be/acw4ag8m9rt,23,7,100,0,Overtaker Fault,Late dive under braking - no peripheral vision
136,Exit Vortex Contact,https://youtu.be/5exlo5nh97t,6,12,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
137,Apex Cut - Track Limits,https://youtu.be/luy6hvoqq3r,34,straight,85,15,Inside Driver Fault,"Cut apex, forced outside car wide"
138,Rejoin Unsafe After Spin,https://youtu.be/9b6c5jm98rs,32,straight,85,15,Spinner Fault,Rejoined without checking mirrors
139,Exit Vortex Contact,https://youtu.be/xitvao6d3h1,26,straight,85,15,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
140,Kerb Strike Oversteer,https://youtu.be/tzfgzwuafnp,8,straight,95,5,Inside Driver Fault,Excessive kerb use caused snap
141,Exit Vortex Contact,https://youtu.be/bsee48efz13,41,5,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
142,T1 Divebomb - Blind Spot Pass,https://youtu.be/699kyn7rp3z,19,1,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
143,Exit Vortex Contact,https://youtu.be/gpc64rwfslx,21,straight,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
144,Straight Weave Block,https://youtu.be/5h8bxxw1w47,33,11,0,20,Defender Fault,Two moves on straight - One Move Rule violation
145,T9 Divebomb - Blind Spot Pass,https://youtu.be/pdxhscfz8ni,9,9,70,30,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
146,Kerb Strike Oversteer,https://youtu.be/12yjcre21ze,4,straight,70,30,Inside Driver Fault,Excessive kerb use caused snap
147,Track Limits Abuse Repeat,https://youtu.be/rix31bs31dj,12,6,100,0,Offender Fault,4th violation - repeated apex cuts
148,Outside Pass Late Commitment,https://youtu.be/rmsf63rmxza,12,straight,90,10,Outside Driver Fault,Not visible at apex - Exit Vortex
149,Brake Test Divebomb,https://youtu.be/oelujbuec4a,44,4,100,0,Overtaker Fault,Late dive under braking - no peripheral vision
150,Brake Test Divebomb,https://youtu.be/hxxwicm5x0s,26,15,100,0,Overtaker Fault,Late dive under braking - no peripheral vision
151,Outside Pass Late Commitment,https://youtu.be/cxuql1g2otv,21,14,85,15,Outside Driver Fault,Not visible at apex - Exit Vortex
152,Exit Vortex Contact,https://youtu.be/mfykzwv7tjc,31,straight,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
153,Outside Pass Late Commitment,https://youtu.be/uyry2pnlz5z,38,straight,85,15,Outside Driver Fault,Not visible at apex - Exit Vortex
154,Outside Pass Late Commitment,https://youtu.be/76qrbu5ibhm,14,straight,90,10,Outside Driver Fault,Not visible at apex - Exit Vortex
155,Exit Vortex Contact,https://youtu.be/h3k87964gx0,24,8,20,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
156,Exit Vortex Contact,https://youtu.be/fu8cwlh7wdk,21,6,80,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
157,Netcode Yeet on Exit,https://youtu.be/1zbbp0bjdm1,9,2,20,20,Racing Incident,"Server replay clean, client lag artifact"
158,Rejoin Unsafe After Spin,https://youtu.be/hi4v1w5a8bn,20,straight,80,20,Spinner Fault,Rejoined without checking mirrors
159,Straight Weave Block,https://youtu.be/rp215pbosnn,38,9,100,0,Defender Fault,Two moves on straight - One Move Rule violation
160,Brake Test Divebomb,https://youtu.be/idwrvkenaz6,29,straight,70,30,Overtaker Fault,Late dive under braking - no peripheral vision
161,Track Limits Abuse Repeat,https://youtu.be/batvru538fe,4,straight,95,5,Offender Fault,4th violation - repeated apex cuts
162,T1 Divebomb - Blind Spot Pass,https://youtu.be/bkn4bw2en57,30,1,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
163,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/ojbnlowsjir,19,straight,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
164,Track Limits Abuse Repeat,https://youtu.be/2i6y2me35za,50,straight,95,5,Offender Fault,4th violation - repeated apex cuts
165,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/lbmgqp7c471,7,straight,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
166,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/td8okcbp5pg,23,straight,90,10,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
167,Netcode Yeet on Exit,https://youtu.be/5kyk05kvxtf,28,12,90,10,Racing Incident,"Server replay clean, client lag artifact"
168,Kerb Strike Oversteer,https://youtu.be/u5hzgltvl2s,18,13,0,20,Inside Driver Fault,Excessive kerb use caused snap
169,T3 Divebomb - Blind Spot Pass,https://youtu.be/sj79bw4o6ey,27,3,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
170,Rejoin Unsafe After Spin,https://youtu.be/gerr70cec4h,45,5,95,5,Spinner Fault,Rejoined without checking mirrors
171,Exit Vortex Contact,https://youtu.be/icm59v9r7qv,6,1,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
172,T11 Divebomb - Blind Spot Pass,https://youtu.be/c7nqpfcx7gc,21,11,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
173,Brake Test Divebomb,https://youtu.be/qnydbus1qu3,36,12,95,5,Overtaker Fault,Late dive under braking - no peripheral vision
174,Netcode Yeet on Exit,https://youtu.be/wc5ine36yre,25,straight,100,0,Racing Incident,"Server replay clean, client lag artifact"
175,T10 Divebomb - Blind Spot Pass,https://youtu.be/h5e6rvz6u3h,43,10,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
176,Straight Weave Block,https://youtu.be/f4q2930u98c,18,straight,85,15,Defender Fault,Two moves on straight - One Move Rule violation
177,Rejoin Unsafe After Spin,https://youtu.be/tka31xc5n50,12,3,0,0,Spinner Fault,Rejoined without checking mirrors
178,Brake Test Divebomb,https://youtu.be/dnyovd7q1q4,47,straight,95,5,Overtaker Fault,Late dive under braking - no peripheral vision
179,Exit Vortex Contact,https://youtu.be/vleb89reg2b,23,14,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
180,Exit Vortex Contact,https://youtu.be/rmp11m51sq0,20,straight,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
181,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/awjobh8yz16,28,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
182,Straight Weave Block,https://youtu.be/mycu8dol89w,7,straight,90,10,Defender Fault,Two moves on straight - One Move Rule violation
183,Exit Vortex Contact,https://youtu.be/ch5q4crnmnw,34,straight,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
184,Outside Pass Late Commitment,https://youtu.be/0cvlokz2hcr,5,5,70,30,Outside Driver Fault,Not visible at apex - Exit Vortex
185,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/o8xtyyg4p61,22,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
186,T11 Divebomb - Blind Spot Pass,https://youtu.be/e3b1s24fb4b,8,11,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
187,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/9y5p3f5ns5c,11,straight,80,20,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
188,Tstraight Divebomb - Blind Spot Pass,https://youtu.be/lhp3do73yz8,11,straight,85,15,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
189,T14 Divebomb - Blind Spot Pass,https://youtu.be/eh2xba363ih,33,14,100,0,Overtaker Fault,Dive from blind spot - SCCA Peripheral Vision violation
190,Exit Vortex Contact,https://youtu.be/uhj1lbgwh47,1,4,90,10,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
191,Track Limits Abuse Repeat,https://youtu.be/moq6w3qet9h,18,7,80,20,Offender Fault,4th violation - repeated apex cuts
192,Apex Cut - Track Limits,https://youtu.be/w0eorywyok2,15,11,100,0,Inside Driver Fault,"Cut apex, forced outside car wide"
193,Exit Vortex Contact,https://youtu.be/96phwa6uq4r,49,straight,0,20,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
194,Exit Vortex Contact,https://youtu.be/6w55bderm47,20,14,100,0,Overtaker Fault,"Outside pass, not in vision at exit - Vortex of Danger"
